,uid,bad_app_num
0,2232156709145,14
1,2232166224653,29
2,2232176868408,35
3,2232176973010,111
4,2232177730340,132
5,2232178078314,130
6,2232178301939,115
7,2232381285193,22
8,2232421683968,19
9,2232515077386,28
10,2232536084109,20
11,2232571985588,16
12,2232577369879,119
13,2232587501971,128
14,2232587905990,110
15,2232588112016,19
16,2232615700931,16
17,2232619644523,127
18,2232672193478,119
19,2232672237563,106
20,2232673797791,130
21,2232675166892,115
22,2232675301840,89
23,2232675948741,104
24,2232684867659,13
25,2232691448172,115
26,2232694240315,42
27,2232696379341,113
28,2232697213649,26
29,2232700027815,126
30,2232706814564,125
31,2232708245658,9
32,2232722039288,126
33,2232752775902,111
34,2232756448939,115
35,2232761915727,108
36,2232767291441,113
37,2232770588017,17
38,2232773164395,63
39,2232785895313,119
40,2232799622056,139
41,2232802317296,35
42,2232808782486,117
43,2232811563879,129
44,2232836392645,27
45,2232840971707,26
46,2232843202169,124
47,2232844291395,33
48,2232845413108,125
49,2232845436677,110
50,2232848390841,23
51,2232850630510,119
52,2232854972669,105
53,2232855336866,17
54,2232858090840,21
55,2232862246500,125
56,2232864238548,109
57,2232875126561,107
58,2232875236154,115
59,2232882956775,124
60,2232883554609,138
61,2232899199050,28
62,2232922140223,119
63,2232925426753,131
64,2232925895338,142
65,2232931527193,14
66,2232934053205,24
67,2232934601298,120
68,2232939573078,143
69,2232942173059,104
70,2232944068536,36
71,2232946396679,109
72,2232948406814,123
73,2232949114815,109
74,2232950438358,40
75,2232951422156,128
76,2232954455268,107
77,2232955432575,120
78,2232972963026,97
79,2232976184341,103
80,2233000571878,123
81,2233015198847,110
82,2233022302274,103
83,2233022370960,116
84,2233022833677,120
85,2233023782586,44
86,2233024888235,122
87,2233048108305,127
88,2233048541877,112
89,2233057149365,82
90,2233101457603,120
91,2233102234246,118
92,2233107888180,111
93,2233110091735,118
94,2233114146787,115
95,2233118421773,109
96,2233118817170,129
97,2233122543450,17
98,2233124793968,107
99,2233127144680,140
100,2233139872921,25
101,2233141577569,112
102,2233184032191,66
103,2233184791218,35
104,2233184995621,127
105,2233188025736,129
106,2233190737901,104
107,2233196463176,132
108,2233202149658,125
109,2233202859205,119
110,2233205541768,102
111,2233206568795,135
112,2233209416387,38
113,2233210135937,12
114,2233222452466,115
115,2233233473849,98
116,2233238166671,47
117,2233266984404,102
118,2233279015203,124
119,2233281834540,17
120,2233283044067,131
121,2233285932069,117
122,2233289453909,123
123,2233298413728,15
124,2233299703940,125
125,2233302876705,20
126,2233303527894,107
127,2233305442213,35
128,2233309429784,30
129,2233312363714,87
130,2233314346564,13
131,2233321731901,125
132,2233326482184,144
133,2233356236561,136
134,2233358337356,107
135,2233359751270,127
136,2233363453873,126
137,2233366010034,111
138,2233367315185,29
139,2233368668431,73
140,2233369473064,32
141,2233372816613,31
142,2233374272387,116
143,2233377457978,53
144,2233378152656,128
145,2233379747025,112
146,2233379969018,21
147,2233381388982,83
148,2233382168666,106
149,2233382810499,126
150,2233382862479,138
151,2233385282956,46
152,2233388220780,24
153,2233388599556,115
154,2233391330046,137
155,2233396932494,121
156,2233398860518,79
157,2233403802026,131
158,2233404139713,46
159,2233405723356,24
160,2233410533914,131
161,2233412145252,27
162,2233443320312,138
163,2233443506483,125
164,2233446736722,123
165,2233446780765,22
166,2233450585392,115
167,2233454125463,24
168,2233454914067,64
169,2233455179250,119
170,2233455862770,119
171,2233456227012,94
172,2233458929417,119
173,2233459100977,109
174,2233461064855,123
175,2233461954754,106
176,2233465758890,27
177,2233469175984,106
178,2233469488728,117
179,2233470401736,124
180,2233470616385,116
181,2233471960555,24
182,2233473693295,121
183,2233475678958,35
184,2233476085290,123
185,2233480978295,25
186,2233481683772,132
187,2233481933567,124
188,2233484150741,125
189,2233490396708,118
190,2233494357698,117
191,2233495878051,119
192,2233517366665,135
193,2233518706586,113
194,2233522015115,110
195,2233522363898,98
196,2233522418495,117
197,2233525877235,25
198,2233531408631,11
199,2233531659254,27
200,2233535454846,106
201,2233536139069,133
202,2233537389491,93
203,2233538059748,110
204,2233538410330,97
205,2233540278074,20
206,2233540531175,103
207,2233541283943,15
208,2233543985550,62
209,2233544162623,22
210,2233544598163,116
211,2233545446964,148
212,2233549818057,23
213,2233551011643,129
214,2233553425405,32
215,2233557830673,117
216,2233560688373,18
217,2233561671061,16
218,2233562609925,23
219,2233564465636,107
220,2233565259818,137
221,2233566707001,120
222,2233567844825,141
223,2233568763626,121
224,2233569660162,31
225,2233571376740,38
226,2233574239270,138
227,2233586499226,126
228,2233594673344,131
229,2233610134975,127
230,2233610808481,14
231,2233614369291,136
232,2233615445134,44
233,2233619099468,122
234,2233620266020,101
235,2233621616307,108
236,2233622769570,20
237,2233627520688,140
238,2233627635731,128
239,2233628193419,76
240,2233630983134,25
241,2233631323955,124
242,2233633181520,111
243,2233634921305,20
244,2233637314782,25
245,2233637942176,118
246,2233639885753,53
247,2233641371926,101
248,2233644203235,137
249,2233648017149,126
250,2233653049860,128
251,2233653398277,13
252,2233654018437,142
253,2233654392036,97
254,2233655987237,51
255,2233659485777,36
256,2233662329092,129
257,2233666325678,139
258,2233668423156,155
259,2233675666128,25
260,2233694953764,97
261,2233700128491,35
262,2233702663386,153
263,2233703979263,113
264,2233704469654,108
265,2233706677312,131
266,2233707139143,14
267,2233707737345,94
268,2233711504036,121
269,2233712654535,130
270,2233713959006,123
271,2233715024594,57
272,2233716473478,41
273,2233716892889,124
274,2233717361326,127
275,2233719073437,91
276,2233722415748,132
277,2233725457176,38
278,2233728259822,13
279,2233731326170,17
280,2233731627097,137
281,2233735915440,111
282,2233736023362,145
283,2233736087145,160
284,2233738253646,145
285,2233745865341,118
286,2233746068352,141
287,2233746097213,39
288,2233749870013,136
289,2233750885426,121
290,2233753448973,121
291,2233757874988,38
292,2233761429338,126
293,2233784305518,105
294,2233790173362,131
295,2233791907684,121
296,2233794176912,133
297,2233795775507,21
298,2233796432953,80
299,2233797678709,109
300,2233798604757,122
301,2233801217092,37
302,2233801445872,84
303,2233802265647,104
304,2233802738071,31
305,2233803438784,29
306,2233805027302,127
307,2233806968559,118
308,2233809800953,103
309,2233811020172,120
310,2233813091496,131
311,2233813745471,112
312,2233815164640,138
313,2233817517550,138
314,2233818010784,116
315,2233819596285,124
316,2233819938174,120
317,2233829668323,33
318,2233831476044,26
319,2233832802237,111
320,2233834403585,34
321,2233835200531,111
322,2233839460835,118
323,2233841821202,108
324,2233860607856,111
325,2233872407573,114
326,2233873967458,124
327,2233875643459,28
328,2233876112645,101
329,2233876616608,31
330,2233879310450,112
331,2233879385068,110
332,2233880200258,120
333,2233881674314,114
334,2233881686912,145
335,2233882056137,107
336,2233882076817,106
337,2233882302325,30
338,2233882906511,31
339,2233883695318,135
340,2233884447597,25
341,2233885554848,41
342,2233887195886,48
343,2233888531873,120
344,2233890854531,114
345,2233891932751,100
346,2233892569687,39
347,2233894246100,130
348,2233895082398,121
349,2233895435236,125
350,2233896058744,126
351,2233896582393,105
352,2233897863346,121
353,2233898903029,113
354,2233901537294,113
355,2233901810322,38
356,2233904083252,128
357,2233905408364,122
358,2233905559445,99
359,2233907854575,115
360,2233911007516,144
361,2233911874971,130
362,2233912079195,21
363,2233914324330,122
364,2233915829586,128
365,2233915937954,95
366,2233916379315,137
367,2233917207362,14
368,2233919788713,121
369,2233919900584,140
370,2233924561108,109
371,2233925924817,30
372,2233927253613,14
373,2233927284586,22
374,2233928203895,132
375,2233937249889,113
376,2233964272706,122
377,2233966904249,124
378,2233967711646,119
379,2233968332651,17
380,2233969718847,125
381,2233972989790,106
382,2233973072290,168
383,2233974264705,34
384,2233976378039,109
385,2233976682908,17
386,2233977220494,22
387,2233977265240,115
388,2233977389033,15
389,2233979878188,15
390,2233979959104,133
391,2233980346326,104
392,2233981169665,112
393,2233981520284,30
394,2233982322705,23
395,2233983125761,115
396,2233986237399,127
397,2233987580746,122
398,2233987676668,134
399,2233993562765,135
400,2233994701182,86
401,2233995635428,29
402,2233998744859,129
403,2234002850090,27
404,2234004671798,105
405,2234006670754,29
406,2234007650007,127
407,2234008021646,144
408,2234008444884,21
409,2234011573816,22
410,2234024068851,131
411,2234050236247,129
412,2234057441868,100
413,2234057510243,116
414,2234058033601,121
415,2234058128262,74
416,2234059684013,111
417,2234061323087,117
418,2234061853864,135
419,2234063144147,23
420,2234063609955,105
421,2234064235252,98
422,2234065578112,122
423,2234067347322,139
424,2234067821874,110
425,2234070429559,137
426,2234072178957,109
427,2234072914194,115
428,2234073520115,114
429,2234073805089,121
430,2234074338212,108
431,2234076175129,139
432,2234077581956,117
433,2234078459199,132
434,2234079363115,14
435,2234080521552,122
436,2234081331855,127
437,2234085442059,115
438,2234095393646,140
439,2234099460895,129
440,2234099969811,132
441,2234102456326,22
442,2234104696718,116
443,2234131002107,33
444,2234134063698,27
445,2234134181208,41
446,2234135520678,67
447,2234135961238,131
448,2234136876727,88
449,2234139227772,121
450,2234141540903,17
451,2234142930613,23
452,2234143035889,113
453,2234145032735,135
454,2234146019674,127
455,2234148120921,24
456,2234148546581,29
457,2234148802085,117
458,2234150917193,128
459,2234151510298,129
460,2234151539932,66
461,2234152398626,29
462,2234154002666,130
463,2234154414928,37
464,2234156143122,102
465,2234156313703,131
466,2234156416612,25
467,2234160037082,138
468,2234160096502,40
469,2234163842398,52
470,2234163931625,118
471,2234167839624,16
472,2234172434194,31
473,2234174128082,38
474,2234174600640,127
475,2234179941207,114
476,2234182033792,150
477,2234185852623,133
478,2234200785920,127
479,2234224654664,51
