,app_nums,overdue_nums,app_nums/overdue_nums
Favorite_concubine_buy_buy_buy.zooking,1,1,1.0
Favorite_concubine_buy_buy_buy.zooking.appicon,1,1,1.0
Favorite_concubine_buy_buy_buy.zooking.home,1,1,1.0
Favorite_concubine_buy_buy_buy.zooking.wallpaper,1,1,1.0
JHC.JHC,1,0,0.0
JHC2.JHC2,1,0,0.0
LG.LG,1,0,0.0
LHMagnumForms.Api.Android,1,0,0.0
SKY.SKY,1,1,1.0
UCUX.APP,4,1,0.25
W2A__app4.ku123.cc,1,1,1.0
a.c8.cn,1,0,0.0
addon.sprd.AddonDeskClock,1,0,0.0
addon.sprd.AddonDeskClockStreamMedia,1,0,0.0
addon.sprd.browser.bookmark,1,0,0.0
addon.sprd.browser.plugindrm,1,0,0.0
addon.sprd.browser.useragent,1,0,0.0
addon.sprd.documentsui.plugindrm,1,0,0.0
addon.sprd.downloadprovider,1,0,0.0
addon.sprd.launcher3.cmcc,1,0,0.0
addon.sprd.launcher3.drm,1,0,0.0
ai.zuoye.app,3,1,0.3333333333333333
aiche123.com.cn,1,1,1.0
aihuishou.aihuishouapp,1,0,0.0
aimoxiu.theme.xwhbdjfx,1,0,0.0
aiqianjin.jiea,316,72,0.22784810126582278
air.NanDun.TeleBet.Web.Phone,1,1,1.0
air.com.adobe.pstouchphone,2,0,0.0
air.com.byebyer.renjiaosanqi3B,1,0,0.0
air.com.final.jtylc,10,3,0.3
air.com.final.ylc35,2,2,1.0
air.com.gongfubb.wk123,1,0,0.0
air.com.gongfubb.wkpy,1,1,1.0
air.com.gongfubb.wksz,1,0,0.0
air.com.martian.RoomEscape1.oppo,2,1,0.5
air.com.mfs.fgcs,1,1,1.0
air.com.mildright.AncientEmpire,1,0,0.0
air.com.nvhaiguo.app150,1,0,0.0
air.com.pujing,1,0,0.0
air.com.quke.funbook,1,0,0.0
air.com.seerkey.zhongyi.gcopfe,1,0,0.0
air.com.seerkey.zhongyi.gcoptfe,1,0,0.0
air.com.tencent.qqfarm,1,0,0.0
air.com.tencent.qqfarmios,1,0,0.0
air.com.tencent.qqpasture,2,0,0.0
air.com.tornscreen.cfgame01,1,0,0.0
air.com.wuba.bangbang,1,0,0.0
air.dreamspace.android.airgallery,1,0,0.0
air.fx.TreasurePotPhone.inhouse,1,0,0.0
air.fyzb3,1,1,1.0
air.learningKoreanA,1,0,0.0
air.tv.douyu.android,70,15,0.21428571428571427
alicom.palm.android,1,1,1.0
all.parttimeguidesystem,1,0,0.0
amway.baike.bri.com,2,1,0.5
android,1938,494,0.2549019607843137
android.autoinstalls.config.motorola.layout,1,0,0.0
android.autoinstalls.config.sony.xperia,2,0,0.0
android.btl.s600cn.overlay,3,0,0.0
android.ext.services,709,173,0.24400564174894218
android.ext.shared,709,173,0.24400564174894218
android.framework.base.s600cn,2,0,0.0
android.framework.fpsensor.overlay,1,0,0.0
android.overlay,1,1,1.0
android.product.res.overlay.defaultgmessaging,1,0,0.0
android.report,4,2,0.5
android.res.overlay_305,2,0,0.0
android.res.overlay_310_318,1,0,0.0
android.wlan.overlay,1,0,0.0
