,app_nums,overdue_nums,app_nums/overdue_nums
ACloud.MindMap,1,0,0.0
BinodRay.GoldenDragon.com,1,0,0.0
BinodRay.GoldenDragon.com.appicon,1,0,0.0
BinodRay.GoldenDragon.com.home,1,0,0.0
BinodRay.GoldenDragon.com.wallpaper,1,0,0.0
CN.Mario.ZXC,1,1,1.0
CheilPengtai.C053,1,0,0.0
CheilPengtai.C053.appicon,1,0,0.0
CheilPengtai.C053.assistantmenu,1,0,0.0
CheilPengtai.C053.calendar,1,0,0.0
CheilPengtai.C053.clockpackage,1,0,0.0
CheilPengtai.C053.cmaweather,1,0,0.0
CheilPengtai.C053.cocktailbarservice,1,0,0.0
CheilPengtai.C053.common,1,0,0.0
CheilPengtai.C053.composer,1,0,0.0
CheilPengtai.C053.contacts,1,0,0.0
CheilPengtai.C053.coreapps,1,0,0.0
CheilPengtai.C053.diagmonagent,1,0,0.0
CheilPengtai.C053.fotaclient,1,0,0.0
CheilPengtai.C053.galaxyfinder,1,0,0.0
CheilPengtai.C053.gallery3d,1,0,0.0
CheilPengtai.C053.hearingadjust,1,0,0.0
CheilPengtai.C053.home,1,0,0.0
CheilPengtai.C053.inputmethod_cn,1,0,0.0
CheilPengtai.C053.lock,1,0,0.0
CheilPengtai.C053.memo,1,0,0.0
CheilPengtai.C053.mms,1,0,0.0
CheilPengtai.C053.music,1,0,0.0
CheilPengtai.C053.myfiles,1,0,0.0
CheilPengtai.C053.peoplestripe,1,0,0.0
CheilPengtai.C053.phone,1,0,0.0
CheilPengtai.C053.popupcalculator,1,0,0.0
CheilPengtai.C053.safetyassurance,1,0,0.0
CheilPengtai.C053.securitylogagent,1,0,0.0
CheilPengtai.C053.settings,1,0,0.0
CheilPengtai.C053.sm,1,0,0.0
CheilPengtai.C053.talkback,1,0,0.0
CheilPengtai.C053.themecenter,1,0,0.0
CheilPengtai.C053.touchwiz,1,0,0.0
CheilPengtai.C053.ui,1,0,0.0
CheilPengtai.C053.universalswitch,1,0,0.0
CheilPengtai.C053.vepreload,1,0,0.0
CheilPengtai.C053.video,1,0,0.0
CheilPengtai.C053.voicenote,1,0,0.0
CheilPengtai.C053.wallpaper,1,0,0.0
CheilPengtai.C053.widget,1,0,0.0
CheilPengtai.C053.wssyncmldm,1,0,0.0
CheilPengtai.C462Snowtown,1,0,0.0
CheilPengtai.C462Snowtown.appicon,1,0,0.0
CheilPengtai.C462Snowtown.home,1,0,0.0
CheilPengtai.C462Snowtown.wallpaper,1,0,0.0
CheilPengtai.C901Iamnotsingle,1,0,0.0
CheilPengtai.C901Iamnotsingle.SMT,1,0,0.0
CheilPengtai.C901Iamnotsingle.accesscontrol,1,0,0.0
CheilPengtai.C901Iamnotsingle.accuweather,1,0,0.0
CheilPengtai.C901Iamnotsingle.advsounddetector,1,0,0.0
CheilPengtai.C901Iamnotsingle.aircommand,1,0,0.0
CheilPengtai.C901Iamnotsingle.appicon,1,0,0.0
CheilPengtai.C901Iamnotsingle.assistantmenu,1,0,0.0
CheilPengtai.C901Iamnotsingle.backup,1,0,0.0
CheilPengtai.C901Iamnotsingle.calendar,1,0,0.0
CheilPengtai.C901Iamnotsingle.capabilitymanager,1,0,0.0
CheilPengtai.C901Iamnotsingle.clockpackage,1,0,0.0
CheilPengtai.C901Iamnotsingle.cmaweather,1,0,0.0
CheilPengtai.C901Iamnotsingle.cocktailbarservice,1,0,0.0
CheilPengtai.C901Iamnotsingle.common,1,0,0.0
CheilPengtai.C901Iamnotsingle.composer,1,0,0.0
CheilPengtai.C901Iamnotsingle.contacts,1,0,0.0
CheilPengtai.C901Iamnotsingle.coreapps,1,0,0.0
CheilPengtai.C901Iamnotsingle.diagmonagent,1,0,0.0
CheilPengtai.C901Iamnotsingle.dmb,1,0,0.0
CheilPengtai.C901Iamnotsingle.fotaclient,1,0,0.0
CheilPengtai.C901Iamnotsingle.galaxyfinder,1,0,0.0
CheilPengtai.C901Iamnotsingle.gallery3d,1,0,0.0
CheilPengtai.C901Iamnotsingle.gametools,1,0,0.0
CheilPengtai.C901Iamnotsingle.hearingadjust,1,0,0.0
CheilPengtai.C901Iamnotsingle.home,1,0,0.0
CheilPengtai.C901Iamnotsingle.inputmethod,1,0,0.0
CheilPengtai.C901Iamnotsingle.inputmethod_cn,1,0,0.0
CheilPengtai.C901Iamnotsingle.japan,1,0,0.0
CheilPengtai.C901Iamnotsingle.kweather,1,0,0.0
CheilPengtai.C901Iamnotsingle.lock,1,0,0.0
CheilPengtai.C901Iamnotsingle.media,1,0,0.0
CheilPengtai.C901Iamnotsingle.memo,1,0,0.0
CheilPengtai.C901Iamnotsingle.mms,1,0,0.0
CheilPengtai.C901Iamnotsingle.mobiletv,1,0,0.0
CheilPengtai.C901Iamnotsingle.music,1,0,0.0
CheilPengtai.C901Iamnotsingle.myfiles,1,0,0.0
CheilPengtai.C901Iamnotsingle.omcagent,1,0,0.0
CheilPengtai.C901Iamnotsingle.opencalendar,1,0,0.0
CheilPengtai.C901Iamnotsingle.peoplestripe,1,0,0.0
CheilPengtai.C901Iamnotsingle.phone,1,0,0.0
CheilPengtai.C901Iamnotsingle.policydm,1,0,0.0
CheilPengtai.C901Iamnotsingle.popupcalculator,1,0,0.0
CheilPengtai.C901Iamnotsingle.qconnect,1,0,0.0
CheilPengtai.C901Iamnotsingle.safetyassurance,1,0,0.0
CheilPengtai.C901Iamnotsingle.securitylogagent,1,0,0.0
CheilPengtai.C901Iamnotsingle.settings,1,0,0.0
CheilPengtai.C901Iamnotsingle.simcardmgr,1,0,0.0
CheilPengtai.C901Iamnotsingle.simsettingmgr,1,0,0.0
CheilPengtai.C901Iamnotsingle.sm,1,0,0.0
CheilPengtai.C901Iamnotsingle.talkback,1,0,0.0
CheilPengtai.C901Iamnotsingle.taskmanager,1,0,0.0
CheilPengtai.C901Iamnotsingle.themecenter,1,0,0.0
CheilPengtai.C901Iamnotsingle.touchwiz,1,0,0.0
CheilPengtai.C901Iamnotsingle.ui,1,0,0.0
CheilPengtai.C901Iamnotsingle.universalswitch,1,0,0.0
CheilPengtai.C901Iamnotsingle.vepreload,1,0,0.0
CheilPengtai.C901Iamnotsingle.video,1,0,0.0
CheilPengtai.C901Iamnotsingle.voicenote,1,0,0.0
CheilPengtai.C901Iamnotsingle.voicerecorder,1,0,0.0
CheilPengtai.C901Iamnotsingle.wallpaper,1,0,0.0
CheilPengtai.C901Iamnotsingle.weathernewsjp,1,0,0.0
CheilPengtai.C901Iamnotsingle.widget,1,0,0.0
CheilPengtai.C901Iamnotsingle.writingbuddyservice,1,0,0.0
CheilPengtai.C901Iamnotsingle.wsomacp,1,0,0.0
CheilPengtai.C901Iamnotsingle.wssyncmldm,1,0,0.0
F.o.r.LDD.appicon,1,0,0.0
F.o.r.LDD.home,1,0,0.0
F.o.r.LDD.wallpaper,1,0,0.0
F.o.r.ZY,1,0,0.0
F.o.r.ZY.appicon,1,0,0.0
F.o.r.ZY.home,1,0,0.0
F.o.r.ZY.wallpaper,1,0,0.0
Favorite_concubine_buy_buy_buy.zooking,1,1,1.0
Favorite_concubine_buy_buy_buy.zooking.appicon,1,1,1.0
Favorite_concubine_buy_buy_buy.zooking.home,1,1,1.0
Favorite_concubine_buy_buy_buy.zooking.wallpaper,1,1,1.0
Grindingthelittlefairy.zooking,1,0,0.0
Grindingthelittlefairy.zooking.appicon,1,0,0.0
Grindingthelittlefairy.zooking.home,1,0,0.0
Grindingthelittlefairy.zooking.wallpaper,1,0,0.0
JBP.JBP,1,0,0.0
JHC.JHC,1,0,0.0
JHC2.JHC2,1,0,0.0
LG.LG,2,0,0.0
LHMagnumForms.Api.Android,1,0,0.0
My.XuanAo.BaZi,1,0,0.0
NVMobilePlayer.NVVideo.com,1,0,0.0
OTbearStockJS.namespace,1,0,0.0
SKY.SKY,1,1,1.0
SSHC.SSHC,1,0,0.0
Samsung.Illustration.Cn.appiconpack,1,1,1.0
Samsung.WhitePearl.appicon,1,0,0.0
Samsung.WhitePearl.home,1,0,0.0
Samsung.WhitePearl.wallpaper,1,0,0.0
UCUX.APP,7,2,0.2857142857142857
W2A__app4.ku123.cc,2,1,0.5
a.c8.cn,2,0,0.0
addon.sprd.AddonDeskClock,1,0,0.0
addon.sprd.AddonDeskClockStreamMedia,1,0,0.0
addon.sprd.browser.bookmark,1,0,0.0
addon.sprd.browser.plugindrm,1,0,0.0
addon.sprd.browser.useragent,1,0,0.0
addon.sprd.documentsui.plugindrm,1,0,0.0
addon.sprd.downloadprovider,1,0,0.0
addon.sprd.launcher3.cmcc,1,0,0.0
addon.sprd.launcher3.drm,1,0,0.0
adnroid.tts.converter.handler,1,0,0.0
adroid.proxyer.handler,1,0,0.0
ai.zuoye.app,7,1,0.14285714285714285
aiche123.com.cn,1,1,1.0
aihuishou.aihuishouapp,3,0,0.0
aihuishou.aijihui,1,0,0.0
aimoxiu.theme.xwhbdjfx,1,0,0.0
aiqianjin.jiea,760,188,0.24736842105263157
air.ColorfulBrideDressUp,1,0,0.0
air.MermaidPrincessmakeup,1,0,0.0
air.NanDun.TeleBet.Web.Phone,1,1,1.0
air.com.a77375.klhxtaomii,1,0,0.0
air.com.adobe.pstouch,1,1,1.0
air.com.adobe.pstouchphone,4,1,0.25
air.com.asiaweinet.GtLivegamin,1,1,1.0
air.com.byebyer.guanzuo1A,1,1,1.0
air.com.byebyer.renjiaosanqi3B,1,0,0.0
air.com.chat.uuchat,1,0,0.0
air.com.colorweddinggames.annaweddingcakecontest,1,0,0.0
air.com.final.jtylc,15,4,0.26666666666666666
air.com.final.ylc35,3,3,1.0
air.com.gdql.lhcvedio,1,1,1.0
air.com.gongfubb.wk123,1,0,0.0
air.com.gongfubb.wkpy,1,1,1.0
air.com.gongfubb.wksz,3,1,0.3333333333333333
air.com.martian.RoomEscape1.oppo,3,1,0.3333333333333333
air.com.mfs.fgcs,1,1,1.0
air.com.mildright.AncientEmpire,1,0,0.0
air.com.nsus.poker.prodtianlong,1,0,0.0
air.com.nvhaiguo.app150,1,0,0.0
air.com.pujing,1,0,0.0
air.com.quke.funbook,1,0,0.0
air.com.seerkey.zhongyi.gcopfe,1,0,0.0
air.com.seerkey.zhongyi.gcoptfe,1,0,0.0
air.com.tencent.qqfarm,1,0,0.0
air.com.tencent.qqfarmios,4,1,0.25
